Brand,Model,Size_in,Throat_in,Diameter_mm,Z_ohm,Re_ohm,Le_mH,Bl_Tm,Sd_cm2,Mms_g,Mmd_g,Cms_mm_per_N,Vas_L,Fs_Hz,Qms,Qes,Qts,Rms_kg_per_s,Xmax_mm,Power_W,Sensitivity_dB,XO_min_Hz,Freq_low_Hz,Source_URL
18Sound,12NTLW2500,12,,,4.0,2.8,0.31,14.4,531,71,,,52.7,52,10.20,0.32,0.31,,7.6,500,107.7,,,
18Sound,12NTLW2500,12,,,8.0,5.0,0.44,17.4,531,62,,,45,60,8.40,0.39,0.38,,7.6,500,105.5,,,
18Sound,12NTLW2500,12,,,16.0,10.1,0.72,21.8,531,63,,,42,62,11.60,0.52,0.50,,7.6,500,101.2,,,
18Sound,12NTLW3500,12,,,4.0,3.1,0.29,16.3,531,85,,,41,54,13.10,0.34,0.33,,8.3,900,97.0,,,
18Sound,12NTLW3500,12.0,,,8.0,5.1,0.46,19.5,531.0,80.0,,,45.0,53.0,8.0,0.35,0.33,,8.3,900.0,97.0,,,
18Sound,12NTLW3500,12,,,16.0,11.3,0.62,23.5,531,77,,,40,57,11.70,0.56,0.54,,7.9,900,97.0,,,
18Sound,12NTLX3500,12,,,8.0,5.0,0.52,17.1,531,86,,,79.6,39,6.20,0.35,0.33,,7.9,600,102.5,,,
18Sound,12NW350,12,,,8.0,5.0,0.85,19.2,531,75,,,46,54,12.00,0.35,0.34,,8.3,800,104.7,,,
18Sound,12NW530,12,,,8.0,4.9,0.9,19.7,530,93,,,36,55,9.70,0.38,0.37,,8,500,103.2,,,
18Sound,12W1300,12,,,8.0,5.2,1.9,20,530,72,,,56,50,4.15,0.28,0.26,,7.5,700,105.1,,,
18Sound,12W500,12,,,4.0,2.7,0.67,9.6,531,36.5,,,101,49,6.10,0.37,0.35,,4,350,99.5,,,
18Sound,12W500,12.0,,,8.0,5.2,1.12,12.1,531.0,36.5,,,123.0,46.0,6.02,0.38,0.36,,4.0,350.0,99.5,,,
18Sound,12W600,12,,,8.0,5.5,1.85,17.3,531,55,,,73,50,5.87,0.32,0.30,,6.5,450,105.7,,,
18Sound,12W700,12.0,,,8.0,5.7,1.48,17.7,531.0,51.0,,,55.0,58.0,3.93,0.37,0.36,,6.5,450.0,98.0,,,
18Sound,12W750,12,,,4.0,3.4,0.56,15.5,531,58,,,58,55,5.00,0.28,0.27,,7,600,97.0,,,
18Sound,12W750,12.0,,,8.0,5.2,0.95,18.0,531.0,57.0,,,73.0,49.0,7.0,0.3,0.28,,8.0,600.0,97.0,,,
18Sound,12W750,12,,,16.0,10.4,1.2,23.5,531,55,,,61,55,5.80,0.35,0.33,,8,600,97.0,,,
18Sound,15CX1000,15,,,8.0,5.5,1.5,21,855,85,,,133,48,6.00,0.32,0.31,,6,850,107.7,,,
18Sound,15LW1400,15,,,8.0,5.8,2.55,26.6,900,120,,,137,42,4.36,0.26,0.25,,6.5,1000,106.8,,,
18Sound,15LW1401,15,,,4.0,3.5,1.02,22,850,125,,,127,39,7.21,0.27,0.26,,9,1000,98.0,,,
18Sound,15LW1401,15.0,,,8.0,5.0,2.15,24.2,850.0,125.0,,,131.0,42.0,5.36,0.28,0.27,,9.0,1000.0,98.0,,,
18Sound,15LW1402,15,,,8.0,5.9,2.66,26.3,900,130,,,126,42,8.10,0.29,0.28,,7,1000,105.8,,,
18Sound,15LW1410,15,,,8.0,5.0,1,24.1,850,138,,,131,42,5.36,0.28,0.27,,8.5,1000,105.5,,,
18Sound,15LW1500,15,,,8.0,5.0,2.4,22.1,850,130,,,195,34,11.50,0.29,0.28,,9,1000,105.3,,,
18Sound,15LW2400,15,,,4.0,2.7,0.79,18,850,135,,,191,34,4.20,0.24,0.23,,9.5,1200,97.0,,,
18Sound,15LW2400,15.0,,,8.0,5.3,1.25,24.0,850.0,138.0,,,131.0,40.0,4.75,0.32,0.3,,10.0,1200.0,97.0,,,
18Sound,15MB1000,15.0,,,8.0,5.5,1.5,21.0,850.0,85.0,,,132.5,48.0,6.0,0.32,0.31,,6.0,850.0,98.0,,,
